"ADMIN0","IU_ID","IUs_NAME","Cov2000","Cov2001","Cov2002","Cov2003","Cov2004","Cov2005","Cov2006","Cov2007","Cov2008","Cov2009","Cov2010","Cov2011","Cov2012","Cov2013","Cov2014","Cov2015","Cov2016","Cov2017","Cov2018","Cov2019","Cov2020","Cov2021","Cov2022","MDA_schemebefore2013","MDA_scheme2013","MDA_scheme2014","MDA_scheme2015","MDA_scheme2016","MDA_scheme2017","MDA_scheme2018","MDA_scheme2019","MDA_scheme2020","MDA_scheme2021","MDA_scheme2022"
"Cameroon","CMR07484","KOZA",0,0,0,0,0,0,0,0,77.8433608,53.34810154,73.59511169,78.26045498,82.5040479,0,91.63,100,86.1,0,0,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Cameroon","CMR07498","PETTE",0,0,0,0,0,0,0,0,0,0,100,83.67621528,96.34013363,0,100,100,100,0,0,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Chad","TCD10747","Kono",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66141","Umm Dorain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18689","Bullen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18607","Guangua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18556","Bibugn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18589","Enebse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH19048","Aysha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Guinea","GIN22620","Kankan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.81,93.11,95.02,0,81.12,93.59,96.17,"Not delivered","Not delivered","Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM"
"Mali","MLI30021","Kadiolo",0,0,0,0,0,0,74.45751503,81.70767037,76.97302356,80.81854898,82.21303533,73.62398604,0,0,0,90.6,93.88,0,0,0,0,0,0,"ALB+IVM","Not delivered","Not delivered","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Togo","TGO48705","TONE",0,77.19796868,74.50441438,80.65653769,81.55369739,84.26449197,84.28655104,84.81836461,83.90286227,84.7717564,0,0,0,0,0,0,0,0,0,0,0,0,0,"ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Nigeria","NGA36798","Ngaski",0,0,0,0,0,0,0,0,0,0,100,86.20582172,0,0,100,100,100,97.91,84.86,86.91,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered"
"Nigeria","NGA36434","Ganjuwa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.77,63.76,58.42,97.23,97.73,99.92,0,98.89,"Not delivered","Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","ALB+IVM"
"Nigeria","NGA36482","Biu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.03,0,0,100,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","ALB+IVM","Not delivered","Not delivered","ALB+IVM"
"Cameroon","CMR07473","BOGO",0,0,0,0,0,0,0,0,0,0,82.01401108,70.49184005,80.45529521,0,96.03,92.47,97,0,0,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Cameroon","CMR07486","MAGA",0,0,0,0,0,0,0,0,0,0,58.12474129,81.42137961,90.85753224,0,100,83,78.98,0,0,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66114","Dimsu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66156","Keilak",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18549","Banja",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18577","Degadamot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18631","M/saint",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18543","Argoba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Burkina Faso","BFA05320","SINDOU",0,0,0,75.49421107,70.75240851,78.21666428,79.14036957,78.94733086,79.47972265,81.08440297,0,80.41022114,80.28438333,0,0,0,0,0,0,0,0,0,0,"ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ghana","GHA21549","Nandom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.65,78.87,72.44,0,0,0,0,0,0,"Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ghana","GHA21546","Lambussie",0,0,0,0,0,0,0,0,0,77.96763296,67.61020792,75.896114,0,0,100,78.23,82.77,0,0,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ghana","GHA21551","Sissala West",0,69.30413756,74.33730513,67.96508042,72.06639825,69.58852435,74.31422024,73.68165034,82.71170472,69.7395265,80.23414229,77.29805677,0,0,72.28,0,0,0,0,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ghana","GHA21550","Sissala East",0,74.04620462,79.42655719,72.62112911,76.99944741,76.27570449,77.49862072,77.96763296,85.49336683,80.04042923,78.8879136,75.5675207,0,0,89.06,0,0,0,0,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ghana","GHA21540","Kassena-Nankana West",0,0,0,0,0,0,0,0,88.88760607,81.5259971,81.01705327,82.59052391,0,0,96.24,98.64,87.33,69.22,0,82.52,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","ALB+IVM","Not delivered","Not delivered","Not delivered"
"Ghana","GHA21539","Kassena-Nankana",0,63.19072343,70.13899062,61.81797669,65.76970512,65.8995213,76.7378726,76.86319039,83.49943232,79.34115206,82.07064872,77.19077261,0,0,83.19,82.2,84.94,0,0,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ghana","GHA21534","Bongo",0,0,70.2565372,69.35380901,64.12785388,56.2224761,68.39906037,70.58050406,76.49080298,79.24872148,74.23895098,77.11048907,0,0,91.87,95.77,0,0,0,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Nigeria","NGA36876","Agawara",0,0,0,0,0,0,0,0,0,0,0,85.10576065,0,0,100,87.29,100,99.29,99.51,0,98.94,0,90.16,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","ALB+IVM","Not delivered","ALB+IVM"
"Nigeria","NGA36686","Igba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.38,97.22,99.91,84.48,85.71,98.7,0,83.69,"Not delivered","Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","ALB+IVM"
"Nigeria","NGA36622","Funakaye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.91,100,100,80,100,96.35,100,"Not delivered","Not delivered","Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM"
"Nigeria","NGA36483","Chibok",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Chad","TCD10714","Guelinding",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.68,100,100,98.78,96.24,98.85,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM"
"Sudan","SDN66113","Buram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66151","Abyei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18681","legambo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18534","Albuko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18612","Injibara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18513","Dewe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH19044","Afdem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH19070","Erer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ghana","GHA21541","Nadbam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.86,90,85.18,73.91,0,100,0,100,100,"Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","ALB+IVM","Not delivered","ALB+IVM","ALB+IVM"
"Benin","BEN03219","Kouandé",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Nigeria","NGA36363","Madagali",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Cameroon","CMR07489","MAROUA 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,"Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66116","El Radoom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66131","Al Buram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18691","Dibate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18606","Guagusa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18613","Jabi tehinan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18683","worillu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Guinea","GIN22605","Boffa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Burkina Faso","BFA05318","BANFORA",0,0,0,80.41563028,79.02792511,78.22115213,81.46686526,79.43709903,78.62550303,79.60203366,0,78.02637575,80.17851037,0,0,0,0,0,0,0,0,0,0,"ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ghana","GHA21536","Builsa North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.9,86.36,91.91,0,0,0,0,0,0,"Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Chad","TCD10753","Bongor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Chad","TCD10668","Bousso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18702","Sherkole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.06,87.08,100,94.99,94.54,0,0,0,0,"Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18561","Chagni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.39,81.08,91.63,97.16,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18629","Borena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18585","Dewa Chefa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18569","Dawe Harwa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Burkina Faso","BFA05319","MANGODARA",0,0,0,80.41513084,79.028003,78.22169904,81.46698574,79.43717371,91.42422141,79.06264031,0,81.47211456,78.64649492,0,0,0,0,0,0,0,0,0,0,"ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Togo","TGO48704","TANDJOARE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Nigeria","NGA36444","Toro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,82.82,82.18,61.91,95.72,100,99.92,100,100,"Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM"
"Nigeria","NGA36479","Askir/Uba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.28,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","ALB+IVM","Not delivered","Not delivered","Not delivered"
"Cameroon","CMR07494","MOKOLO",0,0,0,0,0,0,0,0,80.07293131,42.77715049,32.31552041,79.03062104,79.87043697,0,100,100,100,0,0,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Cameroon","CMR07500","TOKOMBERE",0,0,0,0,0,0,0,0,97.20123,0,79.77953757,76.18483086,79.94989695,0,86.58,83.58,90.44,0,0,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66129","Um Dafug",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"South Sudan","SSD44379","Melut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.27,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","ALB+IVM"
"Ethiopia","ETH18695","Kurmuk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18560","Bure Zuria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18588","Enarj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18943","Lege hidha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Guinea","GIN22617","Fria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Nigeria","NGA36684","Chikun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Nigeria","NGA36366","Michika",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.68,0,97.06,85.18,81.31,100,0,100,"Not delivered","Not delivered","Not delivered","ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","ALB+IVM"
"Cameroon","CMR07490","MAROUA 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18682","wogdi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18619","Kelala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Cote d'Ivoire","CIV15401","TENGRELA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.59,78.12,92.76,77.66,82.83,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered"
"Burkina Faso","BFA05374","GAOUA",0,74.62205799,48.34009962,75.4649994,80.39289973,74.42407825,82.93593592,81.22325091,80.60218125,82.25748002,0,83.23738642,82.01839574,0,100,100,100,100,100,100,100,0,100,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","ALB+IVM"
"Ghana","GHA21547","Lawra",0,0,71.18156914,63.42102021,65.40213659,70.06110946,74.50878026,64.72630906,82.36752884,73.68165034,87.77916638,71.45323594,0,0,93.54,94.09,89.66,66.8,0,77.17,0,74.97,70.21,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","ALB+IVM","Not delivered","ALB+IVM","ALB+IVM"
"Ghana","GHA21545","Jirapa",0,0,74.15672796,65.59691913,75.07920719,71.64139716,93.04995514,73.43936418,85.07428785,73.77197129,73.09914931,72.58270136,0,0,78,77.38,77.75,55.58,0,77.87,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","ALB+IVM","Not delivered","Not delivered","Not delivered"
"Ghana","GHA21543","Talensi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.65,85.89,0,0,0,0,0,0,0,"Not delivered","Not delivered","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Benin","BEN03226","Toukountouna",0,0,0,0,86.12132353,80.29538496,82.60892639,84.1718974,83.17467629,88.28470503,87.29849382,0,0,0,0,0,0,0,0,0,0,0,0,"ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Nigeria","NGA36888","Magama",0,0,0,0,0,0,0,0,0,0,0,46.46659271,0,0,92.26,43.7,99.57,99.9,99.64,100,99.38,0,90.17,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","ALB+IVM"
"Chad","TCD10667","Ba-Illi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18559","Bure Town",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18600","Gishe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Ethiopia","ETH18542","Antsokiyana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
